scientific_name,iucn_cat
Anisotremus surinamensis,DD
Haemulon album,DD
Heterodontus francisci,DD
Holothuria impatiens,DD
Lutjanus jocu,DD
Mycteroperca phenax,DD
Mycteroperca prionura,DD
Mycteroperca tigris,DD
Mycteroperca xenarcha,DD
Ocyurus chrysurus,DD
Panulirus argus,DD
Paralabrax auroguttatus,DD
Scarus coelestinus,DD
Sphyraena lucasana,DD
Abudefduf saxatilis,LC
Abudefduf troschelii,LC
Acanthurus chirurgus,LC
Acanthurus coeruleus,LC
Acanthurus tractus,LC
Alphestes immaculatus,LC
Anisotremus davidsonii,LC
Anisotremus interruptus,LC
Anisotremus virginicus,LC
Apogon pacificus,LC
Apogon retrosella,LC
Balistes polylepis,LC
Bodianus diplotaenia,LC
Bodianus rufus,LC
Calamus brachysomus,LC
Canthidermis sufflamen,LC
Canthigaster punctatissima,LC
Caranx bartholomaei,LC
Caranx caballus,LC
Caranx crysos,LC
Caranx latus,LC
Caranx ruber,LC
Caulolatilus princeps,LC
Cephalopholis cruentata,LC
Cephalopholis fulva,LC
Cephalopholis panamensis,LC
Chaetodon capistratus,LC
Chaetodon humeralis,LC
Chaetodon striatus,LC
Chromis atrilobata,LC
Chromis cyanea,LC
Chromis limbaughi,LC
Chromis punctipinnis,LC
Cirrhitichthys oxycephalus,LC
Cirrhitus rivulatus,LC
Clepticus parrae,LC
Crocodilichthys gracilis,LC
Diodon holocanthus,LC
Diodon hystrix,LC
Diplobatis ommata,LC
Elacatinus puncticulatus,LC
Embiotoca jacksoni,LC
Epinephelus adscensionis,LC
Epinephelus analogus,LC
Epinephelus guttatus,LC
Epinephelus labriformis,LC
Fistularia commersonii,LC
Gerres cinereus,LC
Girella nigricans,LC
Girella simplicidens,LC
Gramma loreto,LC
Gymnothorax castaneus,LC
Gymnothorax dovii,LC
Haemulon aurolineatum,LC
Haemulon carbonarium,LC
Haemulon chrysargyreum,LC
Haemulon flaviguttatum,LC
Haemulon flavolineatum,LC
Haemulon macrostomum,LC
Haemulon maculicauda,LC
Haemulon melanurum,LC
Haemulon parra,LC
Haemulon plumierii,LC
Haemulon sciurus,LC
Haemulon sexfasciatum,LC
Haemulon steindachneri,LC
Haemulon striatum,LC
Halichoeres bivittatus,LC
Halichoeres chierchiae,LC
Halichoeres dispilus,LC
Halichoeres garnoti,LC
Halichoeres melanotis,LC
Halichoeres nicholsi,LC
Halichoeres notospilus,LC
Halichoeres semicinctus,LC
Holacanthus bermudensis,LC
Holacanthus ciliaris,LC
Holacanthus passer,LC
Holacanthus tricolor,LC
Holocentrus adscensionis,LC
Hoplopagrus guentherii,LC
Hypsypops rubicundus,LC
Johnrandallia nigrirostris,LC
Kyphosus analogus,LC
Kyphosus elegans,LC
Kyphosus sectatrix,LC
Lutjanus apodus,LC
Lutjanus argentiventris,LC
Lutjanus griseus,LC
Lutjanus mahogoni,LC
Lutjanus novemfasciatus,LC
Lutjanus viridis,LC
Lythrypnus dalli,LC
Medialuna californiensis,LC
Melichthys niger,LC
Microlepidotus inornatus,LC
Microspathodon chrysurus,LC
Microspathodon dorsalis,LC
Mulloidichthys dentatus,LC
Muraena lentiginosa,LC
Mycteroperca rosacea,LC
Myripristis leiognathus,LC
Nicholsina denticulata,LC
Octopus bimaculatus,LC
Ophioblennius steindachneri,LC
Oxyjulis californica,LC
Panulirus guttatus,LC
Panulirus inflatus,LC
Panulirus interruptus,LC
Paralabrax clathratus,LC
Paralabrax maculatofasciatus,LC
Paralabrax nebulifer,LC
Paranthias colonus,LC
Pareques fuscovittatus,LC
Pempheris schomburgkii,LC
Pomacanthus arcuatus,LC
Pomacanthus paru,LC
Pomacanthus zonipectus,LC
Prionurus punctatus,LC
Prognathodes aculeatus,LC
Pterois volitans,LC
Rhacochilus vacca,LC
Scarus coeruleus,LC
Scarus compressus,LC
Scarus ghobban,LC
Scarus perrico,LC
Scarus rubroviolaceus,LC
Scarus vetula,LC
Scomberomorus maculatus,LC
Scomberomorus regalis,LC
Scomberomorus sierra,LC
Scorpaena mystes,LC
Seriola lalandi,LC
Serranus psittacinus,LC
Sparisoma aurofrenatum,LC
Sparisoma viride,LC
Sphoeroides annulatus,LC
Sphoeroides lobatus,LC
Sphyraena barracuda,LC
Stegastes acapulcoensis,LC
Stegastes flavilatus,LC
Stegastes rectifraenum,LC
Sufflamen verres,LC
Thalassoma bifasciatum,LC
Thalassoma grammaticum,LC
Thalassoma lucasanum,LC
Trachinotus falcatus,LC
Urobatis concentricus,LC
Balistes vetula,NT
Ginglymostoma cirratum,NT
Lutjanus analis,NT
Lutjanus synagris,NT
Mycteroperca bonaci,NT
Mycteroperca venenosa,NT
Pseudobatos productus,NT
Scarus guacamaia,NT
Squatina californica,NT
Balistes capriscus,VU
Epinephelus morio,VU
Ginglymostoma cirratum,VU
Holacanthus clarionensis,VU
Lachnolaimus maximus,VU
Lutjanus cyanopterus,VU
Mycteroperca interstitialis,VU
Narcine entemedor,VU
Semicossyphus pulcher,VU
Aetobatus narinari,EN
Haliotis kamtschatkana,EN
Isostichopus fuscus,EN
Mycteroperca jordani,EN
Epinephelus striatus,CR
Haliotis corrugata,CR
Haliotis cracherodii,CR
Haliotis fulgens,CR
Haliotis rufescens,CR
Haliotis sorenseni,CR
Pycnopodia helianthoides,CR
Stereolepis gigas,CR
