Topic,Reference
Range extension - \emph{Lutjanus inermis},\citet{fernandez2015range}
Range extension - \emph{Chromis limbaughi},\citet{martinez2014range}
"Range extension - \emph{Holacanthus clarionensis, Stegastes leucorus, Stegastes acapulcoensis}",\citet{hernandez2016occurrence}
Range extension - \emph{Zanclus cornutus},\citet{fernandez2018northernmost}
Range extension - \emph{Scyllarides astori},\citet{melo2021northernmost}
Environmental variation and resilience,\citet{micheli2012evidence}
Genetic diversity and connectivity,\citet{munguia2015marine}
Climate change and marine reserve design,\citet{alvarez2018designing}
Trophic ecology of endangered marine mammals,\citet{arias2019marine}
Detection of invasive species - \emph{Sargassum filicinum},\citet{riosmena2012invasive}
Anomalous coloration - \emph{Arothron meleagris},\citet{reyes2017color}
Biogeographic regionalization,\citet{chollett2017case}
Functional diversity,\citet{ramirez2017functional}
Trophic ecology,\citet{vilalta2018mass}
Biogeography,\citet{olivier2018functional}
Echinoderm functional diversity,\citet{rojas2020echinoderm}
Environmental variation and resilience,\citet{beas2020geographic}
